week,Subgroup,y_dtd_u,y_dtd_w,split,q50_u,q80_u,q95_u,dtd_u_lag1
2023-04-18,AT,8752.2,218.805,train,9557.7885,11956.960625,11956.960625,8371.8
2023-04-18,ATN,27163.25,651.918,train,26220.7285,48695.67050000001,49882.311375000005,22549.25
2023-04-18,ATPA,0.0,0.0,train,0.0,0.0,0.0,0.0
2023-04-18,ATPPCH,0.0,0.0,train,0.0,0.0,0.0,0.0
2023-04-18,ATWWP,0.0,0.0,train,28.5718,83.92798725,232.74994375,0.0
2023-04-18,EEA,0.0,0.0,train,0.0,0.0,0.0,0.0
2023-04-18,MAC,0.0,0.0,train,26.8419875,79.65143562499999,171.66850937499993,0.0
2023-04-18,MAHS,205.0,5.125,train,86.60363,240.882615,499.24727749999994,33.0
2023-04-18,MAP,0.0,0.0,train,0.0,0.0,0.0,0.0
2023-04-18,MAPA,0.0,0.0,train,0.0,0.0,0.0,0.0
2023-04-18,MAR,4998.958,119.974992,train,7564.482,8532.28415,8532.28415,7659.534
2023-04-18,MASR,690.0,17.25,train,491.941935,728.71676,1233.4275487500001,778.0
2023-04-18,POP,7759.0,91.7462,train,11059.613,23886.037108974368,23886.037108974368,11059.0
2023-04-18,POPF,1014.0,11.07288,train,234.531211645,235.32466952874998,496.19489251625,469.0
2023-04-18,POV,15910.0,199.35552,train,23438.7665,39533.410625,50409.709612179504,34133.0
2023-04-18,SE,3718.75,22.0833,train,3334.6107650000004,6319.05627625,8660.81221375,6370.167
2023-04-18,SO,0.0,0.0,train,0.0,0.0,0.0,0.0
2023-04-18,SOP,254.0,2.80416,train,315.99999999999994,316.32843031375,472.6947199999999,631.9999999999999
2023-04-18,SOS,93819.66394927536,1345.888197,train,120690.34850422702,167112.619504227,223323.44248505437,189671.13100845405
2023-04-25,AT,10247.0,256.175,train,10928.744,10928.744,10928.744,5304.0
2023-04-25,ATN,38186.706,916.480944,train,28025.2805,48528.897375,48528.897375,14912.909
2023-04-25,ATPA,0.0,0.0,train,0.0,0.0,0.0,0.0
