week,Subgroup,dtd_u,fi_u,prod_u,so_u,dtd_w,fi_w,prod_w,so_w,mpu_est_tons_per_unit
2022-12-27,AT,3024.0,2690.0,3000.0,3712.0,75.6,67.25,75.0,92.8,0.024999999999999998
2022-12-27,ATN,6059.08,6545.0,8200.0,12629.0,145.41792,157.07999999999998,196.8,303.096,0.024
2022-12-27,ATPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-12-27,ATPPCH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-12-27,ATWWP,0.0,0.0,0.0,194.0,0.0,0.0,0.0,4.656,0.024
2022-12-27,EEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048
2022-12-27,MAC,0.0,0.0,25.0,0.0,0.0,0.0,0.6,0.0,0.024
2022-12-27,MAHS,0.0,43.0,48.0,25.0,0.0,1.075,1.2,0.625,0.025
2022-12-27,MAP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024
2022-12-27,MAPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-12-27,MAR,1434.0,1005.0,500.0,3380.0,34.416000000000004,24.119999999999997,12.0,81.11999999999999,0.024
2022-12-27,MASR,249.0,70.0,100.0,117.0,6.225,1.75,2.5,2.925,0.024999999999999998
2022-12-27,POP,1911.000989010989,1793.0,2966.0,4698.0,22.023838,20.66246,34.03218,54.425279999999994,0.011710853313709932
2022-12-27,POPF,307.9999999999999,402.0,314.0,992.9999999999999,3.363359999999999,4.3898399999999995,3.4288800000000004,10.843559999999998,0.010920000000000001
2022-12-27,POV,3790.0,3628.0,2272.0,6475.0,44.8721,40.39308,27.59666,79.60862,0.012466919805827077
2022-12-27,SE,1195.2289583333334,2014.0,1300.0,2443.0,7.105099,11.7888,7.8,14.257200000000001,0.005905239895449729
2022-12-27,SO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01602519095869057
2022-12-27,SOP,83.0,70.0,0.0,260.0,0.91632,0.7728000000000002,0.0,2.8704,0.011040000000000001
2022-12-27,SOS,47560.0,31994.634,34583.0,113269.0,665.79664,448.69835936000004,499.88384,1587.9328800000003,0.014351356390307051
2023-01-03,AT,12931.34,13576.0,11500.0,12354.8,323.2835,339.4,287.5,308.87,0.024999999999999998
2023-01-03,ATN,32727.874,30809.0,24905.0,36380.291,785.468976,739.4159999999999,597.72,873.126984,0.024
2023-01-03,ATPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2023-01-03,ATPPCH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2023-01-03,ATWWP,349.166,1774.0,2856.0,394.0,8.379984,42.576,68.544,9.456,0.024
2023-01-03,EEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048
2023-01-03,MAC,25.0,29.0,4.0,37.0,0.6,0.696,0.096,0.888,0.024
2023-01-03,MAHS,97.0,61.0,56.0,279.0,2.425,1.525,1.4,6.975,0.025
2023-01-03,MAP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024
2023-01-03,MAPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2023-01-03,MAR,7683.3330000000005,8183.0,7657.0,8012.875,184.399992,196.392,183.768,192.309,0.024
2023-01-03,MASR,375.0,424.0,264.0,1067.0,9.375,10.6,6.6,26.675,0.024999999999999998
2023-01-03,POP,8460.997008547009,8163.0,8938.0,13176.0,96.17603100000001,93.63718,101.5378,148.37186000000003,0.011710853313709932
2023-01-03,POPF,1129.0,1014.0,314.0,1864.0,12.328680000000002,11.07288,3.42888,20.354879999999998,0.010920000000000001
2023-01-03,POV,12910.0,12500.0,12540.0,14019.0,159.48478,133.72086,151.74068,173.08017999999998,0.012466919805827077
