week,Subgroup,y_dtd_u,y_dtd_w,split,q50_u,q80_u,q95_u
2023-04-18,AT,8752.2,218.805,train,6271.1743,17042.54035,26939.73235
2023-04-18,ATN,27163.25,651.918,train,16225.651,39241.393,66578.6845
2023-04-18,ATPA,0.0,0.0,train,-0.067605406,0.11572538300000001,7.196848703
2023-04-18,ATPPCH,0.0,0.0,train,-0.06761215,0.11570816599999999,7.197861574999999
2023-04-18,ATWWP,0.0,0.0,train,32.63677,78.0738745,150.04426
2023-04-18,EEA,0.0,0.0,train,-0.18208104,0.78588264,5942.6320405199995
2023-04-18,MAC,0.0,0.0,train,26.02499,62.121092000000004,123.6935
2023-04-18,MAHS,205.0,5.125,train,72.23581,179.82669999999996,317.76731500000005
2023-04-18,MAP,0.0,0.0,train,25.819519,61.6415305,122.9603005
2023-04-18,MAPA,0.0,0.0,train,-0.067600586,0.115737151,7.198459843
2023-04-18,MAR,4998.958,119.974992,train,2124.9792,5376.5988,8735.7504
2023-04-18,MASR,690.0,17.25,train,107.53154,269.91473,461.52680000000004
2023-04-18,POP,7759.0,91.7462,train,5043.498,14621.8035,225598.761
2023-04-18,POPF,1014.0,11.07288,train,0.17179266,1.3855481699999999,428.56355367
2023-04-18,POV,15910.0,199.35552,train,7818.072,13197.4575,103266.084
2023-04-18,SE,3718.75,22.0833,train,613.519,4918.64725,1792240.3404999997
2023-04-18,SO,0.0,0.0,train,-0.094793715,0.1182684825,12.9206623575
2023-04-18,SOP,254.0,2.80416,train,-0.09026462,0.6146024800000001,294.82037730999997
2023-04-18,SOS,93819.66394927536,1345.888197,train,42965.855,288116.89249999996,1318312.1975
2023-04-25,AT,10247.0,256.175,train,13091.209,36392.9185,57212.845
2023-04-25,ATN,38186.706,916.480944,train,19742.662,47705.80900000001,79243.6285
2023-04-25,ATPA,0.0,0.0,train,-0.070347086,0.09500337249999999,6.544705992999999
2023-04-25,ATPPCH,0.0,0.0,train,-0.07038479,0.09491021499999999,6.544497895
2023-04-25,ATWWP,98.0,2.352,train,43.118977,103.3287415,184.7621965
2023-04-25,EEA,0.0,0.0,train,-0.19893126,0.7280362199999999,6430.060965629999
2023-04-25,MAC,30.0,0.72,train,28.634003,68.268383,128.7171035
2023-04-25,MAHS,12.0,0.3,train,80.36924,199.689635,340.953305
2023-04-25,MAP,0.0,0.0,train,28.480816,67.926547,128.300392
2023-04-25,MAPA,0.0,0.0,train,-0.07039134,0.094894122,6.54454167
2023-04-25,MAR,5862.457,140.698968,train,1914.1641,4730.683950000001,7251.14445
2023-04-25,MASR,782.0,19.55,train,117.32207,294.07556,488.86377500000003
2023-04-25,POP,15401.829975579976,176.128627,train,12019.194,42993.258,876774.753
2023-04-25,POPF,106.91602564102564,1.167523,train,0.04725049,1.108402105,523.662074755
2023-04-25,POV,12839.0,164.97754,train,7017.6094,12072.806799999998,107023.7578
2023-04-25,SE,6388.924083333333,37.782736,train,574.8476,4809.5981,2372450.8262
2023-04-25,SO,0.0,0.0,train,-0.09993078,0.10603131000000002,13.47052689
2023-04-25,SOP,435.0,4.8024,train,-0.1056069,0.5836341,335.31127845000003
2023-04-25,SOS,127517.4679347826,1848.994769,train,48417.016,339701.332,1274974.8669999999
2023-05-02,AT,11383.24,284.581,train,8063.768,21239.283499999998,32677.481
2023-05-02,ATN,40778.251,978.678024,train,22530.074,54735.803,94553.79800000001
2023-05-02,ATPA,0.0,0.0,train,-0.06907173,0.091594395,6.297904365
2023-05-02,ATPPCH,0.0,0.0,train,-0.069095515,0.091536803,6.2975997575
2023-05-02,ATWWP,558.1673333333333,13.396016,train,37.76605,90.339835,160.501924
2023-05-02,EEA,0.0,0.0,train,-0.20599729,0.7184376349999999,7375.278548645
2023-05-02,MAC,18.0,0.432,train,33.049652,79.193117,144.06095900000003
2023-05-02,MAHS,290.0,7.25,train,96.788086,242.043232,404.897737
2023-05-02,MAP,0.0,0.0,train,32.963257,79.01498050000001,144.06635649999998
2023-05-02,MAPA,0.0,0.0,train,-0.06909864,0.09152769300000001,6.2974687199999995
2023-05-02,MAR,5815.912,139.581888,train,2137.3523,5224.721750000001,7800.9506
2023-05-02,MASR,485.0,12.125,train,147.90092,372.43581499999993,612.061415
2023-05-02,POP,16361.0,194.68358,train,12218.748,48379.005000000005,1300626.501
2023-05-02,POPF,812.0,8.86704,train,-0.05792517,0.823970985,534.6642875849999
2023-05-02,POV,34694.0,445.30304,train,20495.648,44927.315,798757.3010000001
2023-05-02,SE,6349.158916666667,37.680962,train,544.27985,4596.9142249999995,2483984.960075
2023-05-02,SO,0.0,0.0,train,-0.099581726,0.101709703,13.546909363000001
2023-05-02,SOP,350.0,3.864,train,-0.12588662,0.51629506,351.02416831
2023-05-02,SOS,175789.95398550725,2518.1333320000003,train,96863.8,755927.3500000001,4087816.3
2023-05-09,AT,6086.2,152.155,train,8316.938,21877.4675,36705.005
2023-05-09,ATN,25216.625,605.199,train,13111.352,34795.536499999995,73442.94499999999
2023-05-09,ATPA,0.0,0.0,train,-0.067735404,0.0923047995,6.293361102
2023-05-09,ATPPCH,0.0,0.0,train,-0.067754336,0.09225441850000002,6.293065168
2023-05-09,ATWWP,959.25,23.022,train,48.956596,119.50440700000001,210.604672
2023-05-09,EEA,0.0,0.0,train,-0.21016105,0.710040275,8113.048580525
2023-05-09,MAC,0.0,0.0,train,35.80349,86.066261,154.99172
2023-05-09,MAHS,22.0,0.55,train,96.56964,241.217085,403.347105
2023-05-09,MAP,0.0,0.0,train,35.336174,84.92901800000001,153.214673
2023-05-09,MAPA,0.0,0.0,train,-0.06775666,0.092246261,6.29280983
2023-05-09,MAR,4425.917,106.222008,train,1689.2714,4178.8109,6517.761200000001
2023-05-09,MASR,493.0,12.325,train,134.75063,338.793905,556.196855
2023-05-09,POP,12753.0,153.6899,train,11392.371,48661.2945,1453149.6645
2023-05-09,POPF,738.9999999999999,8.06988,train,-0.092314675,0.7401422375,615.0912023375
2023-05-09,POV,23553.0,294.6307,train,14443.785,33592.89750000001,595421.2575000001
2023-05-09,SE,4104.507083333333,24.381034,train,488.2098,4028.76345,2177584.5951
2023-05-09,SO,0.0,0.0,train,-0.0997127,0.10209109000000001,14.26140385
2023-05-09,SOP,748.9170289855074,8.268044,train,-0.14718035,0.46464476499999996,404.45790017499996
2023-05-09,SOS,103542.57998188405,1485.173419,train,59975.9,430606.505,2343062.75
2023-05-16,AT,3681.0,92.025,train,4145.0337,10809.513900000002,18194.40765
2023-05-16,ATN,18048.583,433.165992,train,8025.756,21438.611999999997,41350.1835
2023-05-16,ATPA,0.0,0.0,train,-0.06792727,0.09443001499999999,6.483868084999999
2023-05-16,ATPPCH,0.0,0.0,train,-0.06793801,0.09440843299999999,6.484398455
2023-05-16,ATWWP,250.2503333333333,6.006008,train,42.909595,103.2408925,181.1807425
2023-05-16,EEA,0.0,0.0,train,-0.21476254,0.6955523750000001,8552.975381270002
2023-05-16,MAC,30.0,0.72,train,38.785534,93.720088,170.41087299999998
2023-05-16,MAHS,163.0,4.075,train,107.34053,270.447185,461.47938500000004
2023-05-16,MAP,0.0,0.0,train,37.62011,90.83657000000001,165.59620999999999
2023-05-16,MAPA,0.0,0.0,train,-0.06793053,0.09442990050000001,6.484862265
2023-05-16,MAR,3693.167,88.636008,train,1595.5774,3966.1861,6017.9023
2023-05-16,MASR,411.0,10.275,train,136.08163,340.88813500000003,569.4142300000001
2023-05-16,POP,8106.170024420025,96.254393,train,7034.3296,27151.7467,655680.3802000001
2023-05-16,POPF,650.0839743589743,7.098916999999998,train,-0.11657398,0.6562288100000001,613.22933699
2023-05-16,POV,17650.0,217.54824,train,12129.505,23991.154000000002,271782.4525
2023-05-16,SE,3430.084,20.243304,train,343.15253,2712.7608349999996,1907517.173735
2023-05-16,SO,0.0,0.0,train,-0.10519725,0.09274386449999998,14.927662125000001
2023-05-16,SOP,423.9999999999999,4.680960000000001,train,-0.15139717,0.46504241,450.616043585
2023-05-16,SOS,78593.29103260869,1103.896493,train,46395.086,286931.537,897044.117
2023-05-23,AT,1591.0,39.775,train,2884.0542,7007.5599,11444.6484
2023-05-23,ATN,11514.709,276.353016,train,6633.7705,15574.29625,28323.106750000003
2023-05-23,ATPA,0.0,0.0,train,-0.071563944,0.088491783,6.823930872000001
2023-05-23,ATPPCH,0.0,0.0,train,-0.071591295,0.088426008,6.823616647500001
2023-05-23,ATWWP,113.11700000000002,2.714808,train,53.56974,130.40559,236.78721
2023-05-23,EEA,0.0,0.0,train,-0.21575022,0.69423555,8898.961825109998
2023-05-23,MAC,150.0,3.6,train,43.512558,106.16093099999999,198.31733100000002
2023-05-23,MAHS,160.0,4.0,train,115.34715,292.641705,512.60292
2023-05-23,MAP,0.0,0.0,train,42.875084,104.6194955,195.88514299999997
2023-05-23,MAPA,0.0,0.0,train,-0.0716046,0.08839470750000002,6.823504799999999
2023-05-23,MAR,3947.208,94.732992,train,1532.2281,3786.76425,5934.56685
2023-05-23,MASR,484.0,12.1,train,157.33755,400.52776500000004,693.4307699999999
2023-05-23,POP,7083.0,84.21868,train,7939.788,31434.892499999998,872507.706
2023-05-23,POPF,282.0,3.07944,train,-0.11732026,0.639969125,600.64111013
2023-05-23,POV,12187.0,149.12534,train,8629.2295,18707.490250000003,249179.53525000002
2023-05-23,SE,2528.5,15.027,train,430.30267,3518.324815,2607856.448665
2023-05-23,SO,0.0,0.0,train,-0.11110663,0.0822819245,15.846800315
2023-05-23,SOP,539.0,5.95056,train,-0.15824121,0.42878407499999993,421.41667060500004
2023-05-23,SOS,86650.12699275362,1230.076141,train,50000.727,346392.88649999996,1070146.7865
2023-05-30,AT,3592.0,89.8,train,11922.548,31384.25,53275.02049999999
2023-05-30,ATN,19437.415666666668,466.497976,train,11303.986,27056.572,51745.102
2023-05-30,ATPA,0.0,0.0,train,-0.07864904,0.07915038699999999,7.4463054699999995
2023-05-30,ATPPCH,0.0,0.0,train,-0.07864904,0.07915038699999999,7.4463054699999995
2023-05-30,ATWWP,766.9663333333333,18.407192,train,74.85369,186.39892500000002,354.37518
2023-05-30,EEA,0.0,0.0,train,-0.21101362,0.70940831,9099.221906809998
2023-05-30,MAC,0.0,0.0,train,50.8946,126.17889500000001,247.21844000000002
2023-05-30,MAHS,77.0,1.925,train,146.75653,379.86251500000003,695.287225
2023-05-30,MAP,0.0,0.0,train,48.977966,121.246532,238.245527
2023-05-30,MAPA,0.0,0.0,train,-0.07864904,0.07915038699999999,7.4463054699999995
2023-05-30,MAR,5408.707,129.808968,train,1971.6779,4877.113249999999,7934.5073
2023-05-30,MASR,358.0,8.95,train,169.19653,434.97558999999995,781.87714
2023-05-30,POP,7624.0,89.36928,train,6257.282,24677.538500000002,721568.519
2023-05-30,POPF,299.9160256410256,3.275083,train,-0.102322236,0.6680315130000001,565.2621111180001
2023-05-30,POV,14548.0,178.97334,train,9761.969,21298.773499999996,282962.9705
2023-05-30,SE,4197.9130000000005,24.894678000000003,train,377.4909,2993.2266,2061503.95455
2023-05-30,SO,0.0,0.0,train,-0.11707911,0.075617001,17.466987555000003
2023-05-30,SOP,406.0,4.48224,train,-0.1494253,0.4444985450000001,424.11026764999997
2023-05-30,SOS,117048.828955314,1719.888428,train,100950.85,777281.9500000001,2481682.8249999997
2023-06-06,AT,3320.8,83.02000000000001,train,8269.803,22158.508499999996,39472.7175
2023-06-06,ATN,24712.79133333333,593.106992,train,12542.602,28837.587999999996,51976.114
2023-06-06,ATPA,0.0,0.0,train,-0.087949,0.06408584749999999,8.368993399999999
2023-06-06,ATPPCH,0.0,0.0,train,-0.087949,0.06408584749999999,8.368993399999999
2023-06-06,ATWWP,661.1306666666667,15.867136,train,88.98953,227.984735,457.787975
